ticker,company_name,sector,price,chg_pct,net_score,bull,bear,verdict,bars,mode,mtf_aligned,mtf_detail,earnings_soon,atr_stop,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,Rel.Str,Rel.Str_label,VWAP,VWAP_label,News,News_label,gamma_strike,gamma_value,gamma_oi,gamma_pin,gamma_squeeze,gamma_size_mult,gamma_detail,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
GEHC,GE HealthCare Technologies Inc.,Healthcare,64.89,,4,6,2,Strong bullish,439,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+5),False,63.94,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,bull,Above VWAP (+0.42%),bull,"Positive sentiment (score=+10, 5 articles)",65.0,0.1331,1479,YES,,0.75,"⚠ Gamma pin risk: $65.00 strike (0.2% away) γ=0.1331 OI=1,479 — size reduced 75%",session,65.25,63.72,bullish,64.66,R 38.2%,64.3,R 61.8%,65.25,E 100.0%,65.66,E 127.2%,66.19,E 161.8%,1.64,2.78,4.25,65.25,E 100.0%,64.89,65.25,64.89,64.66,64.48,64.3,64.05,65.25,65.66,65.83,66.19,66.78,67.72
INSM,Insmed Incorporated,Healthcare,97.91,,4,5,1,Strong bullish,440,Hourly,False,MTF conflict ✗ — Hourly: bull (+4)  Daily: bear (-2),False,95.58,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Extended above VWAP band ($97.57),bull,"Positive sentiment (score=+10, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,98.09,93.94,bullish,96.5,R 38.2%,95.53,R 61.8%,98.09,E 100.0%,99.22,E 127.2%,100.65,E 161.8%,1.64,2.8,4.28,98.09,E 100.0%,97.11,98.09,97.11,96.5,96.02,95.53,94.83,98.09,99.22,99.68,100.65,102.24,104.8
KLAC,KLA Corporation,Technology,252.32,,4,6,2,Strong bullish,439,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+2),False,242.95,bull,Bullish engulfing,neutral,Significantly below trend,bull,Wide divergence above SMA,bull,6 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+7.6% 10-bar),neutral,Extended above VWAP band ($250.76),bull,"Positive sentiment (score=+10, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,252.87,231.94,bullish,244.88,R 38.2%,239.94,R 61.8%,252.87,E 100.0%,258.56,E 127.2%,265.8,E 161.8%,1.62,2.77,4.23,252.87,E 100.0%,247.93,252.87,247.93,244.88,242.41,239.94,236.42,252.87,258.56,260.86,265.8,273.8,286.73
MSTR,Strategy Inc,Technology,123.14,,4,6,2,Strong bullish,440,Hourly,False,MTF conflict ✗ — Hourly: bull (+4)  Daily: bear (-2),False,119.05,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),bear,7 open gap(s) above (resistance),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,bull,VWAP reclaim ($123.14 > $123.13),bull,"Positive sentiment (score=+10, 5 articles)",123.0,0.0368,7721,YES,,0.75,"⚠ Gamma pin risk: $123.00 strike (0.1% away) γ=0.0368 OI=7,721 — size reduced 75%",session,128.6,117.27,bullish,124.27,R 38.2%,121.6,R 61.8%,128.6,E 100.0%,131.68,E 127.2%,135.6,E 161.8%,1.62,2.78,4.24,128.6,E 100.0%,122.94,124.27,125.93,124.27,122.94,121.6,119.69,128.6,131.68,132.93,135.6,139.93,146.93
MPWR,"Monolithic Power Systems, Inc.",Technology,1576.02,,4,5,1,Strong bullish,440,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+4),False,1527.69,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Near VWAP ($1578.42),bull,"Positive sentiment (score=+10, 5 articles)",,,,,,1.0,No significant gamma strikes near price,multi-day swing (20b),1598.0,1469.55,bullish,1548.93,R 38.2%,1518.62,R 61.8%,1598.0,E 100.0%,1632.94,E 127.2%,1677.38,E 161.8%,1.62,2.77,4.24,1598.0,E 100.0%,1567.69,1598.0,1567.69,1548.93,1533.78,1518.62,1497.04,1598.0,1632.94,1647.07,1677.38,1726.45,1805.83
ROST,"Ross Stores, Inc.",Consumer Cyclical,241.57,,4,6,2,Strong bullish,440,Hourly,True,MTF: one timeframe neutral — Hourly: bull (+4)  Daily: neutral (+0),False,238.93,bear,Stale green (3-bar exhaustion),neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,bull,Above VWAP (+0.37%),bull,"Positive sentiment (score=+10, 5 articles)",,,,,,1.0,No significant gamma strikes near price,multi-day swing (20b),242.82,230.4,bullish,238.08,R 38.2%,235.14,R 61.8%,242.82,E 100.0%,246.2,E 127.2%,250.5,E 161.8%,1.61,2.76,4.22,242.82,E 100.0%,239.89,242.82,239.89,238.08,236.61,235.14,233.06,242.82,246.2,247.56,250.5,255.24,262.92
SBUX,Starbucks Corporation,Consumer Cyclical,102.66,,4,5,1,Strong bullish,439,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+1),False,101.35,bear,Bearish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Near VWAP ($102.36),bull,"Positive sentiment (score=+10, 5 articles)",103.0,0.1034,1346,YES,,0.75,"⚠ Gamma pin risk: $103.00 strike (0.3% away) γ=0.1034 OI=1,346 — size reduced 75%",multi-day swing (20b),103.72,96.9,bullish,101.11,R 38.2%,99.51,R 61.8%,103.72,E 100.0%,105.58,E 127.2%,107.93,E 161.8%,1.63,2.79,4.26,103.72,E 100.0%,102.11,103.72,102.11,101.11,100.31,99.51,98.36,103.72,105.58,106.33,107.93,110.54,114.75
WDC,Western Digital Corporation,Technology,567.15,,4,6,2,Strong bullish,440,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+6),False,548.82,bull,Bullish harami,neutral,Significantly below trend,bull,Wide divergence above SMA,bull,7 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),neutral,In line with market,bull,Above VWAP (+2.49%),bull,"Positive sentiment (score=+10, 5 articles)",550.0,0.0064,2356,,YES,1.25,"⚡ Gamma squeeze setup: breaking $550.00 strike γ=0.0064 OI=2,356 — size increased 125%",session,572.29,510.68,bullish,548.75,R 38.2%,534.22,R 61.8%,572.29,E 100.0%,589.05,E 127.2%,610.36,E 161.8%,1.62,2.77,4.24,572.29,E 100.0%,557.75,572.29,557.75,548.75,541.49,534.22,523.86,572.29,589.05,595.83,610.36,633.9,671.97
BKNG,Booking Holdings Inc.,Consumer Cyclical,164.59,,3,5,2,Moderately bullish,440,Hourly,True,MTF aligned ✓ — Hourly: bull (+3)  Daily: bull (+3),False,161.27,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bear,Overbought (> +100),bull,Bounce off prior support,neutral,In line with market,bull,Above VWAP (+0.46%),bull,"Positive sentiment (score=+10, 5 articles)",165.0,0.0398,1570,YES,,0.75,"⚠ Gamma pin risk: $165.00 strike (0.2% away) γ=0.0398 OI=1,570 — size reduced 75%",session,168.41,161.25,bullish,165.67,R 38.2%,163.99,R 61.8%,168.41,E 100.0%,170.36,E 127.2%,172.83,E 161.8%,1.63,2.79,4.26,168.41,E 100.0%,163.99,164.83,166.72,165.67,164.83,163.99,162.78,168.41,170.36,171.15,172.83,175.57,179.99
AVGO,Broadcom Inc.,Technology,380.48,,3,5,2,Moderately bullish,440,Hourly,False,MTF conflict ✗ — Hourly: bull (+3)  Daily: bear (-1),False,371.67,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,bear,Below VWAP (-0.38%),bull,"Positive sentiment (score=+10, 5 articles)",395.0,0.0172,2768,,,1.0,"Nearest strike: $395.00 (3.8% away) γ=0.0172 OI=2,768 — standard sizing",session,389.56,377.0,bullish,384.76,R 38.2%,381.8,R 61.8%,389.56,E 100.0%,392.98,E 127.2%,397.32,E 161.8%,1.62,2.78,4.24,389.56,E 100.0%,379.69,381.8,386.6,384.76,383.28,381.8,379.69,389.56,392.98,394.36,397.32,402.12,409.88
