ticker,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
EXC,45.61,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),46.03,44.15,bullish,45.31,R 38.2%,44.87,R 61.8%,46.03,E 100.0%,46.54,E 127.2%,47.19,E 161.8%,1.64,2.8,4.27,46.03,E 100.0%,45.59,46.03,45.59,45.31,45.09,44.87,44.55,46.03,46.54,46.75,47.19,47.91,49.07
FDS,249.08,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),272.4,238.3,bullish,259.37,R 38.2%,251.33,R 61.8%,272.4,E 100.0%,281.68,E 127.2%,293.47,E 161.8%,1.62,2.77,4.24,272.4,E 100.0%,245.6,251.33,264.35,259.37,255.35,251.33,245.6,272.4,281.68,285.43,293.47,306.5,327.57
FE,46.43,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),46.75,45.09,bullish,46.12,R 38.2%,45.72,R 61.8%,46.75,E 100.0%,47.2,E 127.2%,47.78,E 161.8%,1.58,2.7,4.15,46.75,E 100.0%,46.36,46.75,46.36,46.12,45.92,45.72,45.45,46.75,47.2,47.38,47.78,48.41,49.44
L,108.05,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),109.32,102.17,bullish,106.59,R 38.2%,104.9,R 61.8%,109.32,E 100.0%,111.26,E 127.2%,113.73,E 161.8%,1.62,2.76,4.22,109.32,E 100.0%,107.63,109.32,107.63,106.59,105.74,104.9,103.7,109.32,111.26,112.04,113.73,116.46,120.88
MPC,263.28,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),272.46,251.5,bullish,264.45,R 38.2%,259.51,R 61.8%,272.46,E 100.0%,278.16,E 127.2%,285.41,E 161.8%,1.62,2.78,4.24,272.46,E 100.0%,261.98,264.45,267.51,264.45,261.98,259.51,255.99,272.46,278.16,280.47,285.41,293.42,306.37
PSX,181.72,,5,5,0,Strong bullish,251,Daily,bull,Bullish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),188.0,176.96,bullish,183.78,R 38.2%,181.18,R 61.8%,188.0,E 100.0%,191.0,E 127.2%,194.82,E 161.8%,1.62,2.78,4.25,188.0,E 100.0%,181.18,182.48,185.39,183.78,182.48,181.18,179.32,188.0,191.0,192.22,194.82,199.04,205.86
ROST,231.92,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),235.02,221.57,bullish,229.88,R 38.2%,226.7,R 61.8%,235.02,E 100.0%,238.68,E 127.2%,243.33,E 161.8%,1.62,2.77,4.23,235.02,E 100.0%,231.84,235.02,231.84,229.88,228.29,226.7,224.44,235.02,238.68,240.16,243.33,248.47,256.79
SCHW,89.27,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,session (no premarket),90.25,85.58,bullish,88.46,R 38.2%,87.36,R 61.8%,90.25,E 100.0%,91.51,E 127.2%,93.13,E 161.8%,1.63,2.77,4.25,90.25,E 100.0%,89.14,90.25,89.14,88.46,87.91,87.36,86.58,90.25,91.51,92.03,93.13,94.91,97.79
TRV,303.36,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),305.96,287.11,bullish,298.76,R 38.2%,294.31,R 61.8%,305.96,E 100.0%,311.09,E 127.2%,317.61,E 161.8%,1.62,2.77,4.24,305.96,E 100.0%,301.51,305.96,301.51,298.76,296.53,294.31,291.14,305.96,311.09,313.16,317.61,324.81,336.46
VICI,28.41,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,session (no premarket),28.56,27.01,bullish,27.97,R 38.2%,27.6,R 61.8%,28.56,E 100.0%,28.98,E 127.2%,29.51,E 161.8%,1.59,2.73,4.16,28.56,E 100.0%,28.19,28.56,28.19,27.97,27.78,27.6,27.34,28.56,28.98,29.15,29.51,30.11,31.06
VLO,257.99,,5,5,0,Strong bullish,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),265.61,246.47,bullish,258.3,R 38.2%,253.78,R 61.8%,265.61,E 100.0%,270.82,E 127.2%,277.44,E 161.8%,1.62,2.77,4.23,265.61,E 100.0%,256.04,258.3,261.09,258.3,256.04,253.78,250.57,265.61,270.82,272.92,277.44,284.75,296.58
WELL,211.36,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),session (no premarket),212.84,194.67,bullish,205.9,R 38.2%,201.61,R 61.8%,212.84,E 100.0%,217.78,E 127.2%,224.07,E 161.8%,1.62,2.77,4.24,212.84,E 100.0%,208.55,212.84,208.55,205.9,203.75,201.61,198.56,212.84,217.78,219.78,224.07,231.01,242.24
AES,14.63,,4,5,1,Strong bullish,251,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bear,Near 20-period SMA (below),bull,1 open gap(s) below (support),bull,Oversold · Wide divergence,bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),14.74,14.62,bullish,14.69,R 38.2%,14.67,R 61.8%,14.74,E 100.0%,14.77,E 127.2%,14.81,E 161.8%,2.5,4.0,6.0,14.74,E 100.0%,,14.65,14.71,14.69,14.68,14.67,14.65,14.74,14.77,14.79,14.81,14.86,14.93
CASY,915.6,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Significantly above trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bear,Overbought · Wide divergence,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),session (no premarket),917.47,739.18,bullish,849.36,R 38.2%,807.29,R 61.8%,917.47,E 100.0%,965.96,E 127.2%,1027.65,E 161.8%,1.62,2.77,4.24,917.47,E 100.0%,875.39,917.47,875.39,849.36,828.32,807.29,777.33,917.47,965.96,985.58,1027.65,1095.76,1205.94
DVN,46.6,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bull,Above SMA (acting as support),session (no premarket),47.17,43.2,bullish,45.66,R 38.2%,44.72,R 61.8%,47.17,E 100.0%,48.26,E 127.2%,49.63,E 161.8%,1.61,2.77,4.22,47.17,E 100.0%,46.24,47.17,46.24,45.66,45.19,44.72,44.05,47.17,48.26,48.69,49.63,51.15,53.61
INCY,105.39,,4,5,1,Strong bullish,251,Daily,bull,Inverted hammer,bull,Significantly above trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bull,%K above %D (bullish cross),bear,Overbought (> +100),bull,Above SMA (acting as support),session (no premarket),110.34,92.18,bullish,103.4,R 38.2%,99.12,R 61.8%,110.34,E 100.0%,115.28,E 127.2%,121.56,E 161.8%,1.62,2.78,4.24,110.34,E 100.0%,103.4,106.05,106.05,103.4,101.26,99.12,96.07,110.34,115.28,117.28,121.56,128.5,139.72
JBHT,280.75,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),293.54,269.04,bullish,284.18,R 38.2%,278.4,R 61.8%,293.54,E 100.0%,300.2,E 127.2%,308.68,E 161.8%,1.62,2.77,4.24,293.54,E 100.0%,278.4,281.29,287.76,284.18,281.29,278.4,274.28,293.54,300.2,302.9,308.68,318.04,333.18
LYV,167.5,,4,5,1,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bear,Rejection at prior resistance,session (no premarket),171.31,158.02,bullish,166.23,R 38.2%,163.1,R 61.8%,171.31,E 100.0%,174.92,E 127.2%,179.52,E 161.8%,1.62,2.78,4.25,171.31,E 100.0%,166.23,168.17,168.17,166.23,164.67,163.1,160.86,171.31,174.92,176.39,179.52,184.6,192.81
TAP,40.9,,4,5,1,Strong bullish,251,Daily,bear,Stale green (3-bar exhaustion),neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,session (no premarket),41.16,38.04,bullish,39.97,R 38.2%,39.23,R 61.8%,41.16,E 100.0%,42.01,E 127.2%,43.09,E 161.8%,1.61,2.76,4.22,41.16,E 100.0%,40.42,41.16,40.42,39.97,39.6,39.23,38.71,41.16,42.01,42.35,43.09,44.28,46.21
ADM,81.28,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bear,Rejection at prior resistance,session (no premarket),85.37,79.05,bullish,82.96,R 38.2%,81.46,R 61.8%,85.37,E 100.0%,87.09,E 127.2%,89.28,E 161.8%,1.61,2.75,4.21,85.37,E 100.0%,80.4,81.46,83.88,82.96,82.21,81.46,80.4,85.37,87.09,87.78,89.28,91.69,95.6
AEE,108.77,,3,4,1,Moderately bullish,251,Daily,bear,Bearish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,session (no premarket),109.44,104.32,bullish,107.49,R 38.2%,106.28,R 61.8%,109.44,E 100.0%,110.83,E 127.2%,112.6,E 161.8%,1.61,2.76,4.22,109.44,E 100.0%,108.23,109.44,108.23,107.49,106.88,106.28,105.42,109.44,110.83,111.39,112.6,114.56,117.72
AEP,128.53,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bear,Break below prior support,session (no premarket),130.22,123.74,bullish,127.74,R 38.2%,126.22,R 61.8%,130.22,E 100.0%,131.98,E 127.2%,134.22,E 161.8%,1.63,2.79,4.26,130.22,E 100.0%,127.74,128.69,128.69,127.74,126.98,126.22,125.13,130.22,131.98,132.7,134.22,136.7,140.7
AIZ,257.34,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought · Wide divergence,bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),259.92,245.79,bullish,254.52,R 38.2%,251.19,R 61.8%,259.92,E 100.0%,263.76,E 127.2%,268.65,E 161.8%,1.62,2.77,4.24,259.92,E 100.0%,256.58,259.92,256.58,254.52,252.85,251.19,248.81,259.92,263.76,265.32,268.65,274.05,282.79
