# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,1.5,4.5,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
TTWO,long,2025-08-13,2025-08-13,0,233.5233,236.14,230.02,244.03,4,10.47,1.12,0.75,signal_flip,6,88.9,0.93
TTWO,long,2025-08-28,2025-09-02,2,230.8706,240.95,227.41,241.26,4,40.32,4.37,2.91,signal_flip,5,72.2,0.92
TTWO,short,2025-09-25,2025-09-25,0,243.8459,245.11,247.5,232.87,4,-5.06,-0.52,-0.35,signal_flip,-4,62.2,0.98
TTWO,long,2025-09-29,2025-09-30,1,257.8276,258.36,253.96,269.43,3,1.6,0.21,0.14,signal_flip,4,62.2,0.77
TTWO,long,2025-10-14,2025-10-15,1,257.247,261.5,253.39,268.82,3,12.76,1.65,1.1,signal_flip,5,72.2,0.77
TTWO,long,2025-10-20,2025-10-21,1,262.4822,258.54,258.54,274.29,3,-11.83,-1.5,-1.0,stop,5,72.2,0.79
TTWO,short,2025-10-24,2025-10-29,3,255.694,251.73,259.53,244.19,3,11.89,1.55,1.03,signal_flip,-5,72.2,0.77
TTWO,short,2025-11-04,2025-11-07,3,255.8039,244.29,259.64,244.29,3,34.54,4.5,3.0,take_profit,-4,62.2,0.77
TTWO,short,2025-11-21,2025-11-21,0,234.6251,238.14,238.14,224.07,4,-14.06,-1.5,-1.0,stop,-6,83.3,0.94
TTWO,long,2025-12-16,2025-12-17,1,244.7445,241.07,241.07,255.76,4,-14.7,-1.5,-1.0,stop,6,88.9,0.98
TTWO,long,2025-12-19,2025-12-23,2,246.4462,249.23,242.75,257.54,4,11.14,1.13,0.75,signal_flip,6,88.9,0.98
TTWO,short,2026-01-28,2026-01-30,2,245.744,234.69,249.43,234.69,4,44.22,4.5,3.0,take_profit,-5,72.2,0.98
TTWO,short,2026-02-12,2026-02-12,0,203.1966,194.05,206.24,194.05,4,36.59,4.5,3.01,take_profit,-6,88.9,0.81
TTWO,short,2026-02-24,2026-02-24,0,194.5752,197.49,197.49,185.82,5,-14.57,-1.5,-1.0,stop,-5,72.2,0.97
TTWO,long,2026-03-10,2026-03-10,0,214.9848,211.76,211.76,224.66,4,-12.9,-1.5,-1.0,stop,5,72.2,0.86
TTWO,short,2026-04-07,2026-04-07,0,195.6442,198.58,198.58,186.84,5,-14.68,-1.5,-1.0,stop,-5,72.2,0.98
TTWO,short,2026-04-10,2026-04-13,1,197.2026,200.16,200.16,188.33,5,-14.79,-1.5,-1.0,stop,-5,72.2,0.99
TTWO,long,2026-04-28,2026-04-29,1,213.2631,210.06,210.06,222.86,4,-12.81,-1.5,-1.0,stop,5,72.2,0.85
TTWO,long,2026-05-12,2026-05-14,2,224.5844,234.69,221.22,234.69,4,40.42,4.5,3.0,take_profit,5,73.3,0.9
MNST,long,2025-07-28,2025-07-28,0,60.1601,60.21,59.26,62.87,16,0.8,0.08,0.06,signal_flip,5,72.2,0.96
